,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
2021,1,5,9,114,56,2021.0,0.36815,13.0,3.487675000000001,2.70145,3.3084249999999993,3888.0,2.079599999999999,2.6468000000000025,0.6119749999999996
2022,8,1,2,417,56,2022.0,1.7811249999999998,12.0,6.9353750000000005,2.4527500000000004,4.895549999999997,6502.0,2.248725,3.263749999999999,1.4726500000000007
2023,11,10,5,364,9,2023.0,2.1293000000000024,26.0,5.164075000000001,1.9253500000000008,2.3333499999999985,5302.0,1.9651500000000006,4.144225000000002,0.4079499999999999
2024,18,10,5,364,9,2024.0,1.104475,37.0,0.6020000000000005,0.0,0.19900000000000007,1726.0,0.05472500000000005,3.3085000000000013,0.0
2025,11,6,5,364,9,2025.0,1.1890249999999996,13.0,5.323449999999998,3.4477749999999996,4.298525000000001,6565.0,3.1443000000000008,4.124399999999995,1.3731249999999997
2026,11,10,7,364,9,2026.0,1.731375,2.0,5.452750000000002,3.9553,5.66165,6466.0,1.53235,4.86565,0.6666499999999997
2027,11,10,5,167,9,2027.0,0.7264000000000006,4.0,4.636825000000001,4.860675,6.975174999999999,7358.0,3.4625999999999992,3.452749999999999,1.3283250000000009
2028,11,10,5,364,6,2028.0,0.23382499999999998,7.0,6.273699999999998,2.462650000000002,5.616999999999998,5844.0,2.5273499999999998,3.447725000000001,1.1442499999999998
2029,18,6,7,167,6,2029.0,0.5621750000000003,4.0,6.552199999999999,6.164100000000002,2.9154749999999994,6979.0,3.9900249999999984,4.98505,0.6218750000000004
2030,16,3,7,239,34,2030.0,1.5671500000000003,37.0,0.7114250000000001,0.0,0.422875,1849.0,1.1044749999999999,2.2089250000000007,0.18407500000000002
2031,13,3,7,239,34,2031.0,2.8060499999999995,9.0,4.945250000000002,3.3383,3.253725,5845.0,1.4576999999999998,2.8707249999999997,2.0994749999999986
2032,16,4,7,239,34,2032.0,0.58705,31.0,2.59695,1.497525,1.7314000000000007,2574.0,0.9353500000000001,1.880575,0.25869999999999993
2033,16,3,9,239,34,2033.0,0.915425,22.0,3.0398500000000017,3.41285,5.119575000000003,4096.0,1.6717,1.0696500000000007,0.6964999999999999
2034,16,3,7,42,34,2034.0,0.75125,37.0,1.4726,0.9303500000000001,1.1442750000000002,2083.0,1.0198750000000003,1.5223749999999998,0.21392499999999995
