,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
602,15,5,8,70,23,602.0,0.0,12.0,1.3881000000000006,0.009949999999999999,0.0,505.0,0.3283500000000004,0.13432499999999997,0.0
603,20,5,8,70,23,603.0,1.4527,29.0,2.2537000000000003,1.2785749999999994,1.104549999999999,2784.0,1.8010249999999999,1.8408250000000002,0.23882500000000012
604,15,7,8,70,23,604.0,1.4527,29.0,2.2537000000000003,1.2785749999999994,1.104549999999999,2784.0,1.8010249999999999,1.8408250000000002,0.23882500000000012
605,15,5,2,70,23,605.0,1.452725,4.0,9.084450000000002,3.1047249999999993,3.4579000000000004,5821.0,1.587125000000001,3.746225,0.7363
606,15,5,8,263,23,606.0,0.0,12.0,1.3881000000000006,0.009949999999999999,0.0,505.0,0.3283500000000004,0.13432499999999997,0.0
607,15,5,8,70,74,607.0,1.452725,4.0,9.084450000000002,3.1047249999999993,3.4579000000000004,5821.0,1.587125000000001,3.746225,0.7363
608,20,7,2,263,74,608.0,1.1193750000000002,9.0,8.258725000000004,2.4527999999999994,5.398075,6789.0,2.198950000000001,4.034800000000001,1.741275
609,5,10,3,320,73,609.0,1.358225,31.0,0.786075,0.019900000000000008,0.7413249999999999,1775.0,0.6567000000000001,2.621925000000002,0.0
610,10,10,3,320,73,610.0,0.79105,34.0,0.0,0.0,0.0,1263.0,0.0,3.5273250000000003,0.0
611,5,2,3,320,73,611.0,1.358225,31.0,0.786075,0.019900000000000008,0.7413249999999999,1775.0,0.6567000000000001,2.621925000000002,0.0
612,5,10,7,320,73,612.0,1.0746,5.0,4.537374999999996,5.089475,10.204099999999997,7240.0,1.597025,4.4775750000000025,2.397950000000001
613,5,10,3,13,73,613.0,0.0,12.0,1.3881000000000006,0.009949999999999999,0.0,505.0,0.3283500000000004,0.13432499999999997,0.0
614,5,10,3,320,24,614.0,0.8706250000000004,10.0,6.9205250000000005,2.3681999999999994,4.243749999999999,6121.0,1.6517499999999998,3.82595,1.4677249999999995
615,10,2,7,13,24,615.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
616,4,2,7,476,4,616.0,0.7264,27.0,3.3234500000000002,1.4029999999999998,2.9602499999999994,3612.0,1.1243500000000015,2.3234000000000004,0.6566999999999998
617,6,2,7,476,4,617.0,1.4527,29.0,2.2537000000000003,1.2785749999999994,1.104549999999999,2784.0,1.8010249999999999,1.8408250000000002,0.23882500000000012
618,4,8,7,476,4,618.0,1.358225,31.0,0.786075,0.019900000000000008,0.7413249999999999,1775.0,0.6567000000000001,2.621925000000002,0.0
619,4,2,10,476,4,619.0,0.79105,34.0,0.0,0.0,0.0,1263.0,0.0,3.5273250000000003,0.0
620,4,2,7,169,4,620.0,1.0746,5.0,4.537374999999996,5.089475,10.204099999999997,7240.0,1.597025,4.4775750000000025,2.397950000000001
621,4,2,7,476,55,621.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
622,6,8,10,169,55,622.0,1.1193750000000002,9.0,8.258725000000004,2.4527999999999994,5.398075,6789.0,2.198950000000001,4.034800000000001,1.741275
623,14,6,3,226,54,623.0,0.0,12.0,1.3881000000000006,0.009949999999999999,0.0,505.0,0.3283500000000004,0.13432499999999997,0.0
624,16,6,3,226,54,624.0,0.43789999999999984,7.0,5.2935500000000015,4.592050000000001,6.6069499999999985,6423.0,1.8756500000000003,2.5970250000000004,1.9104250000000003
625,14,4,3,226,54,625.0,0.9005499999999996,32.0,0.0,0.0,0.0,1438.0,0.0,3.771125,0.0
626,14,6,5,226,54,626.0,0.0,12.0,1.3881000000000006,0.009949999999999999,0.0,505.0,0.3283500000000004,0.13432499999999997,0.0
627,14,6,3,419,54,627.0,0.8706250000000004,10.0,6.9205250000000005,2.3681999999999994,4.243749999999999,6121.0,1.6517499999999998,3.82595,1.4677249999999995
